Vf, D-Sf, R-Sf, B_GSf
0.250000, 0.099067, 0.000000, -0.049533
0.255000, 0.103869, 0.000000, -0.051935
0.260000, 0.107086, 0.000000, -0.053543
0.265000, 0.109127, 0.000000, -0.054564
0.270000, 0.110400, 0.000000, -0.055200
0.275000, 0.111254, 0.000001, -0.055627
0.280000, 0.111965, 0.000002, -0.055982
0.285000, 0.112741, 0.000003, -0.056369
0.290000, 0.113751, 0.000006, -0.056872
0.295000, 0.115136, 0.000011, -0.057562
0.300000, 0.117032, 0.000021, -0.058505
0.305000, 0.119562, 0.000037, -0.059762
0.310000, 0.122838, 0.000065, -0.061386
0.315000, 0.126945, 0.000112, -0.063416
0.320000, 0.131469, 0.000188, -0.065640
0.325000, 0.134503, 0.000311, -0.067096
0.330000, 0.137787, 0.000504, -0.068641
0.335000, 0.141307, 0.000803, -0.070252
0.340000, 0.145044, 0.001254, -0.071895
0.345000, 0.148973, 0.001924, -0.073525
0.350000, 0.153065, 0.002898, -0.075083
0.355000, 0.157284, 0.004288, -0.076498
0.360000, 0.161593, 0.006234, -0.077680
0.365000, 0.165951, 0.008904, -0.078523
0.370000, 0.170317, 0.012502, -0.078907
0.375000, 0.174649, 0.017260, -0.078694
0.380000, 0.178906, 0.023434, -0.077736
0.385000, 0.183051, 0.031300, -0.075875
0.390000, 0.187050, 0.041144, -0.072953
0.395000, 0.190874, 0.053241, -0.068817
0.400000, 0.194504, 0.067849, -0.063327
0.405000, 0.197923, 0.085181, -0.056371
0.410000, 0.201130, 0.105396, -0.047867
0.415000, 0.204130, 0.128576, -0.037777
0.420000, 0.206942, 0.154714, -0.026114
0.425000, 0.209600, 0.183708, -0.012946
0.430000, 0.212154, 0.215350, +0.001598
0.435000, 0.214675, 0.249333, +0.017329
0.440000, 0.217251, 0.285258, +0.034004
0.445000, 0.219997, 0.322648, +0.051326
0.450000, 0.223054, 0.360967, +0.068956
0.455000, 0.226589, 0.399640, +0.086525
0.460000, 0.230799, 0.438085, +0.103643
0.465000, 0.235904, 0.475730, +0.119913
0.470000, 0.242153, 0.512045, +0.134946
0.475000, 0.249808, 0.546556, +0.148374
0.480000, 0.259146, 0.578868, +0.159861
0.485000, 0.270442, 0.608676, +0.169117
0.490000, 0.283959, 0.635768, +0.175904
0.495000, 0.299933, 0.660030, +0.180048
0.500000, 0.318558, 0.681442, +0.181442
0.505000, 0.339970, 0.700067, +0.180048
0.510000, 0.364232, 0.716041, +0.175904
0.515000, 0.391324, 0.729558, +0.169117
0.520000, 0.421132, 0.740854, +0.159861
0.525000, 0.453444, 0.750192, +0.148374
0.530000, 0.487955, 0.757847, +0.134946
0.535000, 0.524270, 0.764096, +0.119913
0.540000, 0.561915, 0.769201, +0.103643
0.545000, 0.600360, 0.773411, +0.086525
0.550000, 0.639033, 0.776946, +0.068956
0.555000, 0.677352, 0.780003, +0.051326
0.560000, 0.714742, 0.782749, +0.034004
0.565000, 0.750667, 0.785325, +0.017329
0.570000, 0.784650, 0.787846, +0.001598
0.575000, 0.816292, 0.790400, -0.012946
0.580000, 0.845286, 0.793058, -0.026114
0.585000, 0.871424, 0.795870, -0.037777
0.590000, 0.894604, 0.798870, -0.047867
0.595000, 0.914819, 0.802077, -0.056371
0.600000, 0.932151, 0.805496, -0.063327
0.605000, 0.946759, 0.809126, -0.068817
0.610000, 0.958856, 0.812950, -0.072953
0.615000, 0.968700, 0.816949, -0.075875
0.620000, 0.976566, 0.821094, -0.077736
0.625000, 0.982740, 0.825351, -0.078694
0.630000, 0.987498, 0.829683, -0.078907
0.635000, 0.991096, 0.834049, -0.078523
0.640000, 0.993766, 0.838407, -0.077680
0.645000, 0.995712, 0.842716, -0.076498
0.650000, 0.997102, 0.846935, -0.075083
0.655000, 0.998076, 0.851027, -0.073525
0.660000, 0.998746, 0.854956, -0.071895
0.665000, 0.999197, 0.858693, -0.070252
0.670000, 0.999496, 0.862213, -0.068641
0.675000, 0.999689, 0.865497, -0.067096
0.680000, 0.999812, 0.868531, -0.065640
0.685000, 0.999888, 0.873055, -0.063416
0.690000, 0.999935, 0.877162, -0.061386
0.695000, 0.999963, 0.880438, -0.059762
0.700000, 0.999979, 0.882968, -0.058505
0.705000, 0.999989, 0.884864, -0.057562
0.710000, 0.999994, 0.886249, -0.056872
0.715000, 0.999997, 0.887259, -0.056369
0.720000, 0.999998, 0.888035, -0.055982
0.725000, 0.999999, 0.888746, -0.055627
0.730000, 1.000000, 0.889600, -0.055200
0.735000, 1.000000, 0.890873, -0.054564
0.740000, 1.000000, 0.892914, -0.053543
0.745000, 1.000000, 0.896131, -0.051935
0.750000, 1.000000, 0.900933, -0.049533
