,04P,06G,06S,08P,08S,10-12D,10G,12P,12S,Mean,Standard Deviation,Mean,erro,R mean,R,B_GS,,,
,,,,,,,,,,,,,SEM,,SEM,,SEM,,
0.25,0.003317,0,5.48E-4,0.015523,0.044299,0.087561,0.072332,0.052851,0.099067,0.041722,0.0388176599661803,0.041722,0.0129392199887268,1.11111111089635E-7,1.11111111119488E-7,0.520860944444444,0.00646966554991895,0.416,0.193
0.255,0.005266,0,9.55E-4,0.021866,0.055056,0.095222,0.082333,0.063848,0.103869,0.0476016666666667,0.0416172264302897,0.0476016666666667,0.0138724088100966,2.22222222290291E-7,2.22222222216541E-7,0.523800722222222,0.00693631551615938,0.416,0.523
0.26,0.008043,0,0.001609,0.02957,0.065868,0.101031,0.090832,0.074366,0.107086,0.0531561111111111,0.0437400506613917,0.0531561111111111,0.0145800168871306,4.44444444469561E-7,3.37931251683503E-7,0.526577833333333,0.00729017740919112,--,
0.265,0.011822,1E-6,0.002615,0.038457,0.076126,0.105167,0.097615,0.083841,0.109127,0.0583078888888889,0.0452067735506651,0.0583078888888889,0.0150689245168884,1.22222222231905E-6,7.41203559123613E-7,0.529153333333333,0.00753483286022374,--,
0.27,0.016742,2E-6,0.004106,0.048196,0.085329,0.107966,0.102721,0.091896,0.1104,0.0630397777777778,0.0460654697598369,0.0630397777777778,0.0153551565866123,2.55555555561671E-6,1.33449023884782E-6,0.531518611111111,0.00767824553842557,--,
0.275,0.022866,4E-6,0.006229,0.058338,0.093167,0.109821,0.106389,0.098387,0.111254,0.0673838888888889,0.0463903220738023,0.0673838888888889,0.0154634406912674,5.00000000003276E-6,2.42670329642946E-6,0.533689444444444,0.00773293369728194,--,
0.28,0.030153,7E-6,0.009137,0.06838,0.099555,0.111115,0.108967,0.103394,0.111965,0.0714081111111111,0.0462796883563525,0.0714081111111111,0.0154265627854508,9.22222222221603E-6,4.4277464100398E-6,0.535699444444444,0.00771549526593044,--,
0.285,0.038446,1.3E-5,0.012966,0.077851,0.104616,0.112174,0.110842,0.107165,0.112741,0.0752015555555556,0.0458501060825139,0.0752015555555556,0.0152833686941713,1.64444444443745E-5,7.85654559218003E-6,0.537592555555556,0.00764561261988174,--,
0.29,0.047472,2.4E-5,0.017816,0.086379,0.108632,0.113262,0.112377,0.11005,0.113751,0.0788625555555556,0.045230912460703,0.0788625555555556,0.0150769708202343,2.96666666667056E-5,1.37133349538331E-5,0.539416444444444,0.00754534207759408,--,
0.295,0.056867,4.2E-5,0.023725,0.093749,0.111972,0.114593,0.113887,0.112433,0.115136,0.0824893333333333,0.0445564364626481,0.0824893333333333,0.0148521454875494,5.21111111111416E-5,2.32924907095965E-5,0.541218611111111,0.00743771898912949,--,
0.3,0.066226,7.4E-5,0.030648,0.099919,0.115028,0.116342,0.115633,0.114678,0.117032,0.0861755555555556,0.0439579099597305,0.0861755555555556,0.0146526366532435,8.96666666666546E-5,3.85292096986099E-5,0.543042944444444,0.00734558293147106,--,
0.305,0.075154,1.25E-4,0.038454,0.105006,0.118163,0.11866,0.117824,0.117103,0.119562,0.0900056666666667,0.0435564271979463,0.0900056666666667,0.0145188090659821,1.45666666666711E-4,5.72261595193517E-5,0.54493,0.00728801761275073,--,
0.31,0.083319,2.08E-4,0.046926,0.109251,0.121683,0.121672,0.120628,0.119965,0.122838,0.0940544444444444,0.0434547188896416,0.0940544444444444,0.0144849062965472,2.26333333333328E-4,7.69622923544011E-5,0.546914055555556,0.00728093429445081,--,
0.315,0.090496,3.38E-4,0.055779,0.112962,0.125814,0.125478,0.124172,0.12346,0.126945,0.0983826666666667,0.0437306956410483,0.0983826666666667,0.0145768985470161,3.49000000000044E-4,1.0244022647379E-4,0.549016833333333,0.00733966938674494,--,
0.32,0.096587,5.36E-4,0.064699,0.11647,0.130699,0.130141,0.128541,0.127718,0.131469,0.102984444444444,0.044393239682724,0.102984444444444,0.014797746560908,5.34444444444393E-4,1.35317026019884E-4,0.551225,0.00746653179346394,--,
