Vf, D-Sf, R-Sf, B_GSf, D-Sf-Pfptp, D-Sf-Uprob, D-Sf-Ufptp
0.250000, 0.004292, 0.000000, -0.002146, 0.000000, 0.077143, 0.083333
0.255000, 0.006606, 0.000000, -0.003303, 0.000000, 0.082241, 0.083333
0.260000, 0.009790, 0.000000, -0.004895, 0.000000, 0.087302, 0.083333
0.265000, 0.013990, 0.000000, -0.006995, 0.000000, 0.092330, 0.111111
0.270000, 0.019304, 0.000001, -0.009651, 0.000000, 0.097337, 0.111111
0.275000, 0.025764, 0.000002, -0.012881, 0.000000, 0.102345, 0.111111
0.280000, 0.033323, 0.000003, -0.016660, 0.000000, 0.107380, 0.111111
0.285000, 0.041851, 0.000007, -0.020922, 0.027778, 0.112474, 0.111111
0.290000, 0.051159, 0.000012, -0.025573, 0.055556, 0.117661, 0.111111
0.295000, 0.061019, 0.000022, -0.030499, 0.055556, 0.122974, 0.111111
0.300000, 0.071204, 0.000039, -0.035582, 0.083333, 0.128447, 0.111111
0.305000, 0.081515, 0.000068, -0.040723, 0.083333, 0.134109, 0.111111
0.310000, 0.091812, 0.000115, -0.045848, 0.111111, 0.139985, 0.111111
0.315000, 0.102022, 0.000192, -0.050915, 0.111111, 0.146092, 0.138889
0.320000, 0.112136, 0.000314, -0.055911, 0.111111, 0.152439, 0.138889
0.325000, 0.122199, 0.000504, -0.060848, 0.111111, 0.159029, 0.138889
0.330000, 0.132283, 0.000791, -0.065746, 0.111111, 0.165855, 0.138889
0.335000, 0.142466, 0.001217, -0.070625, 0.138889, 0.172901, 0.166667
0.340000, 0.152811, 0.001838, -0.075486, 0.138889, 0.180144, 0.194444
0.345000, 0.163349, 0.002723, -0.080313, 0.138889, 0.187553, 0.194444
0.350000, 0.174074, 0.003958, -0.085058, 0.166667, 0.195092, 0.194444
0.355000, 0.184943, 0.005649, -0.089647, 0.194444, 0.202720, 0.194444
0.360000, 0.195879, 0.007917, -0.093981, 0.194444, 0.210393, 0.194444
0.365000, 0.206783, 0.010901, -0.097941, 0.194444, 0.218066, 0.222222
0.370000, 0.217545, 0.014753, -0.101396, 0.222222, 0.225696, 0.222222
0.375000, 0.228054, 0.019632, -0.104211, 0.222222, 0.233240, 0.222222
0.380000, 0.238210, 0.025703, -0.106254, 0.250000, 0.240663, 0.250000
0.385000, 0.247930, 0.033122, -0.107404, 0.277778, 0.247935, 0.277778
0.390000, 0.253675, 0.042038, -0.105819, 0.277778, 0.255034, 0.277778
0.395000, 0.259380, 0.052577, -0.103402, 0.277778, 0.261949, 0.277778
0.400000, 0.265061, 0.064838, -0.100112, 0.277778, 0.268679, 0.277778
0.405000, 0.270733, 0.078888, -0.095923, 0.277778, 0.275236, 0.277778
0.410000, 0.276420, 0.094757, -0.090831, 0.277778, 0.281642, 0.305556
0.415000, 0.282155, 0.112436, -0.084859, 0.305556, 0.287935, 0.305556
0.420000, 0.287981, 0.131875, -0.078053, 0.305556, 0.294162, 0.305556
0.425000, 0.293954, 0.152984, -0.070485, 0.305556, 0.300382, 0.305556
0.430000, 0.300140, 0.175637, -0.062251, 0.305556, 0.306666, 0.305556
0.435000, 0.306614, 0.199674, -0.053470, 0.305556, 0.313092, 0.305556
0.440000, 0.313467, 0.224906, -0.044281, 0.305556, 0.319748, 0.305556
0.445000, 0.320799, 0.251118, -0.034841, 0.305556, 0.326727, 0.305556
0.450000, 0.328718, 0.278074, -0.025322, 0.305556, 0.334125, 0.305556
0.455000, 0.337343, 0.305525, -0.015909, 0.305556, 0.342043, 0.305556
0.460000, 0.346798, 0.333213, -0.006792, 0.305556, 0.350579, 0.333333
0.465000, 0.357208, 0.360876, +0.001834, 0.333333, 0.359833, 0.361111
0.470000, 0.368696, 0.388256, +0.009780, 0.361111, 0.369896, 0.361111
0.475000, 0.381381, 0.415105, +0.016862, 0.361111, 0.380852, 0.361111
0.480000, 0.395369, 0.441194, +0.022912, 0.361111, 0.392774, 0.361111
0.485000, 0.410747, 0.466315, +0.027784, 0.361111, 0.405722, 0.361111
0.490000, 0.427581, 0.490291, +0.031355, 0.361111, 0.419737, 0.361111
0.495000, 0.445908, 0.512978, +0.033535, 0.361111, 0.434840, 0.388889
0.500000, 0.465732, 0.534268, +0.034268, 0.388889, 0.451029, 0.388889
0.505000, 0.487022, 0.554092, +0.033535, 0.388889, 0.468281, 0.388889
0.510000, 0.509709, 0.572419, +0.031355, 0.444444, 0.486544, 0.416667
0.515000, 0.533685, 0.589253, +0.027784, 0.472222, 0.505744, 0.444444
0.520000, 0.558806, 0.604631, +0.022912, 0.500000, 0.525783, 0.472222
0.525000, 0.584895, 0.618619, +0.016862, 0.583333, 0.546544, 0.500000
0.530000, 0.611744, 0.631304, +0.009780, 0.638889, 0.567891, 0.527778
0.535000, 0.639124, 0.642792, +0.001834, 0.666667, 0.589677, 0.611111
0.540000, 0.666787, 0.653202, -0.006792, 0.694444, 0.611745, 0.638889
0.545000, 0.694475, 0.662657, -0.015909, 0.722222, 0.633937, 0.638889
0.550000, 0.721926, 0.671282, -0.025322, 0.750000, 0.656096, 0.666667
0.555000, 0.748882, 0.679201, -0.034841, 0.805556, 0.678073, 0.694444
0.560000, 0.775094, 0.686533, -0.044281, 0.833333, 0.699726, 0.722222
0.565000, 0.800326, 0.693386, -0.053470, 0.888889, 0.720931, 0.750000
0.570000, 0.824363, 0.699860, -0.062251, 0.888889, 0.741578, 0.750000
0.575000, 0.847016, 0.706046, -0.070485, 0.888889, 0.761572, 0.805556
0.580000, 0.868125, 0.712019, -0.078053, 0.888889, 0.780839, 0.833333
0.585000, 0.887564, 0.717845, -0.084859, 0.916667, 0.799320, 0.833333
0.590000, 0.905243, 0.723580, -0.090831, 0.972222, 0.816969, 0.861111
0.595000, 0.921112, 0.729267, -0.095923, 1.000000, 0.833757, 0.888889
0.600000, 0.935162, 0.734939, -0.100112, 1.000000, 0.849663, 0.888889
0.605000, 0.947423, 0.740620, -0.103402, 1.000000, 0.864677, 0.888889
0.610000, 0.957962, 0.746325, -0.105819, 1.000000, 0.878793, 0.888889
0.615000, 0.966878, 0.752070, -0.107404, 1.000000, 0.892011, 0.888889
0.620000, 0.974297, 0.761790, -0.106254, 1.000000, 0.904334, 0.888889
0.625000, 0.980368, 0.771946, -0.104211, 1.000000, 0.915769, 0.916667
0.630000, 0.985247, 0.782455, -0.101396, 1.000000, 0.926323, 0.972222
0.635000, 0.989099, 0.793217, -0.097941, 1.000000, 0.936007, 0.972222
0.640000, 0.992083, 0.804121, -0.093981, 1.000000, 0.944834, 1.000000
0.645000, 0.994351, 0.815057, -0.089647, 1.000000, 0.952823, 1.000000
0.650000, 0.996042, 0.825926, -0.085058, 1.000000, 0.959996, 1.000000
0.655000, 0.997277, 0.836651, -0.080313, 1.000000, 0.966380, 1.000000
0.660000, 0.998162, 0.847189, -0.075486, 1.000000, 0.972009, 1.000000
0.665000, 0.998783, 0.857534, -0.070625, 1.000000, 0.976924, 1.000000
0.670000, 0.999209, 0.867717, -0.065746, 1.000000, 0.981170, 1.000000
0.675000, 0.999496, 0.877801, -0.060848, 1.000000, 0.984797, 1.000000
0.680000, 0.999686, 0.887864, -0.055911, 1.000000, 0.987860, 1.000000
