TX-2012, 2006C, Definition
state<V>, 0.383731, Statewide fractional D vote
t-bias, -0.023037, state<V> minus average district D vote
S-fptp, 9, Seats from first past the post
S<V>est, 8.381408, Seats at state<V>
S50est, 16.646295, Seats at V=0.5
BS<V>, -9.99576, % Geometric Seat Bias at statewide<V>
BS50, 3.760291, % Simple Bias at V=0.5
BV<V>, -2.867740, % Vote Bias at statewide<V>
BV50, 0.847621, % Vote Bias at V=0.5
R<V>, 1.730998, Responsiveness as a slope in S(V) at statewide<V>
R50, 4.045141, Responsiveness as a slope in S(V) at V=0.5
RD<V>, 4.945392, Number of responsive districts at statewide <V>
RD50, 13.399387, Number of responsive districts at V=0.5
EG<V>fpp, 1.746200, Efficiency Gap at state<V> using first past post S
EG<V>S(V), 3.464512, Efficiency Gap at state<V> using estimated S(V)
