Vf, D-Sf, R-Sf, B_GSf
0.250000, 0.008742, 0.000000, -0.004371
0.255000, 0.012741, 0.000000, -0.006371
0.260000, 0.017876, 0.000000, -0.008938
0.265000, 0.024182, 0.000001, -0.012091
0.270000, 0.031607, 0.000001, -0.015803
0.275000, 0.040002, 0.000002, -0.020000
0.280000, 0.049144, 0.000004, -0.024570
0.285000, 0.058762, 0.000008, -0.029377
0.290000, 0.068579, 0.000014, -0.034282
0.295000, 0.078348, 0.000025, -0.039161
0.300000, 0.087880, 0.000045, -0.043918
0.305000, 0.097061, 0.000077, -0.048492
0.310000, 0.105846, 0.000131, -0.052857
0.315000, 0.114255, 0.000217, -0.057019
0.320000, 0.122356, 0.000353, -0.061001
0.325000, 0.130244, 0.000562, -0.064841
0.330000, 0.138029, 0.000878, -0.068576
0.335000, 0.145823, 0.001344, -0.072240
0.340000, 0.153728, 0.002017, -0.075856
0.345000, 0.161831, 0.002970, -0.079430
0.350000, 0.170194, 0.004292, -0.082951
0.355000, 0.178853, 0.006089, -0.086382
0.360000, 0.187810, 0.008484, -0.089663
0.365000, 0.197037, 0.011614, -0.092712
0.370000, 0.206480, 0.015628, -0.095426
0.375000, 0.216057, 0.020682, -0.097687
0.380000, 0.225674, 0.026932, -0.099371
0.385000, 0.234329, 0.034527, -0.099901
0.390000, 0.240332, 0.043605, -0.098363
0.395000, 0.246395, 0.054281, -0.096057
0.400000, 0.252513, 0.066646, -0.092933
0.405000, 0.258685, 0.080757, -0.088964
0.410000, 0.264920, 0.096641, -0.084139
0.415000, 0.271233, 0.114286, -0.078474
0.420000, 0.277654, 0.133645, -0.072004
0.425000, 0.284220, 0.154636, -0.064792
0.430000, 0.290986, 0.177145, -0.056921
0.435000, 0.298018, 0.201027, -0.048496
0.440000, 0.305398, 0.226109, -0.039645
0.445000, 0.313221, 0.252194, -0.030514
0.450000, 0.321596, 0.279064, -0.021266
0.455000, 0.330643, 0.306484, -0.012080
0.460000, 0.340490, 0.334205, -0.003143
0.465000, 0.351271, 0.361971, +0.005350
0.470000, 0.363117, 0.389526, +0.013204
0.475000, 0.376155, 0.416616, +0.020231
0.480000, 0.390498, 0.443003, +0.026253
0.485000, 0.406241, 0.468470, +0.031114
0.490000, 0.423453, 0.492824, +0.034685
0.495000, 0.442171, 0.515908, +0.036868
0.500000, 0.462397, 0.537603, +0.037603
0.505000, 0.484092, 0.557829, +0.036868
0.510000, 0.507176, 0.576547, +0.034685
0.515000, 0.531530, 0.593759, +0.031114
0.520000, 0.556997, 0.609502, +0.026253
0.525000, 0.583384, 0.623845, +0.020231
0.530000, 0.610474, 0.636883, +0.013204
0.535000, 0.638029, 0.648729, +0.005350
0.540000, 0.665795, 0.659510, -0.003143
0.545000, 0.693516, 0.669357, -0.012080
0.550000, 0.720936, 0.678404, -0.021266
0.555000, 0.747806, 0.686779, -0.030514
0.560000, 0.773891, 0.694602, -0.039645
0.565000, 0.798973, 0.701982, -0.048496
0.570000, 0.822855, 0.709014, -0.056921
0.575000, 0.845364, 0.715780, -0.064792
0.580000, 0.866355, 0.722346, -0.072004
0.585000, 0.885714, 0.728767, -0.078474
0.590000, 0.903359, 0.735080, -0.084139
0.595000, 0.919243, 0.741315, -0.088964
0.600000, 0.933354, 0.747487, -0.092933
0.605000, 0.945719, 0.753605, -0.096057
0.610000, 0.956395, 0.759668, -0.098363
0.615000, 0.965473, 0.765671, -0.099901
0.620000, 0.973068, 0.774326, -0.099371
0.625000, 0.979318, 0.783943, -0.097687
0.630000, 0.984372, 0.793520, -0.095426
0.635000, 0.988386, 0.802963, -0.092712
0.640000, 0.991516, 0.812190, -0.089663
0.645000, 0.993911, 0.821147, -0.086382
0.650000, 0.995708, 0.829806, -0.082951
0.655000, 0.997030, 0.838169, -0.079430
0.660000, 0.997983, 0.846272, -0.075856
0.665000, 0.998656, 0.854177, -0.072240
0.670000, 0.999122, 0.861971, -0.068576
0.675000, 0.999438, 0.869756, -0.064841
0.680000, 0.999647, 0.877644, -0.061001
0.685000, 0.999783, 0.885745, -0.057019
0.690000, 0.999869, 0.894154, -0.052857
0.695000, 0.999923, 0.902939, -0.048492
0.700000, 0.999955, 0.912120, -0.043918
0.705000, 0.999975, 0.921652, -0.039161
0.710000, 0.999986, 0.931421, -0.034282
0.715000, 0.999992, 0.941238, -0.029377
0.720000, 0.999996, 0.950856, -0.024570
0.725000, 0.999998, 0.959998, -0.020000
0.730000, 0.999999, 0.968393, -0.015803
0.735000, 0.999999, 0.975818, -0.012091
0.740000, 1.000000, 0.982124, -0.008938
0.745000, 1.000000, 0.987259, -0.006371
0.750000, 1.000000, 0.991258, -0.004371
