DISTRICT,VPI,TWO-PARTY
CD 1,0.306551,257438
CD 2,0.376779,241752
CD 3,0.378165,265598
CD 4,0.295736,256682
CD 5,0.376690,220914
CD 6,0.425202,258357
CD 7,0.407757,237558
CD 8,0.263601,232765
CD 9,0.764727,189227
CD 10,0.431226,261733
CD 11,0.233565,240383
CD 12,0.357801,250748
CD 13,0.224397,244455
CD 14,0.424853,242206
CD 15,0.577965,145206
CD 16,0.650528,168151
CD 17,0.413968,231622
CD 18,0.769824,195802
CD 19,0.281760,234675
CD 20,0.588950,196246
CD 21,0.427991,312112
CD 22,0.390794,233210
CD 23,0.503095,192550
CD 24,0.409726,258275
CD 25,0.432579,271400
CD 26,0.352357,257668
CD 27,0.404954,224922
CD 28,0.587205,157623
CD 29,0.626832,112129
CD 30,0.788003,222381
CD 31,0.432537,238960
CD 32,0.443289,264457
CD 33,0.691193,130470
CD 34,0.605689,148885
CD 35,0.640432,174554
CD 36,0.298352,236442
