Vf, D-Sf, R-Sf, B_GSf
0.250000, 0.005653, 0.000003, -0.002825
0.255000, 0.008498, 0.000007, -0.004246
0.260000, 0.012292, 0.000013, -0.006139
0.265000, 0.017133, 0.000026, -0.008554
0.270000, 0.023050, 0.000048, -0.011501
0.275000, 0.029993, 0.000086, -0.014953
0.280000, 0.037830, 0.000151, -0.018839
0.285000, 0.046372, 0.000259, -0.023056
0.290000, 0.055403, 0.000433, -0.027485
0.295000, 0.064717, 0.000705, -0.032006
0.300000, 0.074160, 0.001119, -0.036520
0.305000, 0.083649, 0.001733, -0.040958
0.310000, 0.093181, 0.002618, -0.045281
0.315000, 0.102819, 0.003862, -0.049478
0.320000, 0.112669, 0.005565, -0.053552
0.325000, 0.122850, 0.007839, -0.057506
0.330000, 0.133459, 0.010800, -0.061330
0.335000, 0.144555, 0.014564, -0.064996
0.340000, 0.156139, 0.019238, -0.068450
0.345000, 0.168155, 0.024915, -0.071620
0.350000, 0.180495, 0.031659, -0.074418
0.355000, 0.193009, 0.039511, -0.076749
0.360000, 0.205522, 0.048477, -0.078522
0.365000, 0.217844, 0.058532, -0.079656
0.370000, 0.229793, 0.069621, -0.080086
0.375000, 0.241201, 0.081671, -0.079765
0.380000, 0.251929, 0.094591, -0.078669
0.385000, 0.261876, 0.108287, -0.076794
0.390000, 0.270978, 0.122669, -0.074154
0.395000, 0.279218, 0.137661, -0.070779
0.400000, 0.286621, 0.153203, -0.066709
0.405000, 0.293249, 0.169260, -0.061994
0.410000, 0.299196, 0.185820, -0.056688
0.415000, 0.304583, 0.202890, -0.050846
0.420000, 0.309546, 0.220494, -0.044526
0.425000, 0.314234, 0.238666, -0.037784
0.430000, 0.318796, 0.257437, -0.030680
0.435000, 0.323381, 0.276831, -0.023275
0.440000, 0.328129, 0.296853, -0.015638
0.445000, 0.332830, 0.317482, -0.007674
0.450000, 0.338131, 0.338666, +0.000268
0.455000, 0.344216, 0.360318, +0.008051
0.460000, 0.351206, 0.382320, +0.015557
0.465000, 0.359216, 0.404518, +0.022651
0.470000, 0.368354, 0.426738, +0.029192
0.475000, 0.378715, 0.448784, +0.035034
0.480000, 0.390375, 0.470453, +0.040039
0.485000, 0.403382, 0.491540, +0.044079
0.490000, 0.417758, 0.511853, +0.047047
0.495000, 0.433489, 0.531214, +0.048862
0.500000, 0.450527, 0.549473, +0.049473
0.505000, 0.468786, 0.566511, +0.048862
0.510000, 0.488147, 0.582242, +0.047047
0.515000, 0.508460, 0.596618, +0.044079
0.520000, 0.529547, 0.609625, +0.040039
0.525000, 0.551216, 0.621285, +0.035034
0.530000, 0.573262, 0.631646, +0.029192
0.535000, 0.595482, 0.640784, +0.022651
0.540000, 0.617680, 0.648794, +0.015557
0.545000, 0.639682, 0.655784, +0.008051
0.550000, 0.661334, 0.661869, +0.000268
0.555000, 0.682518, 0.667170, -0.007674
0.560000, 0.703147, 0.671871, -0.015638
0.565000, 0.723169, 0.676619, -0.023275
0.570000, 0.742563, 0.681204, -0.030680
0.575000, 0.761334, 0.685766, -0.037784
0.580000, 0.779506, 0.690454, -0.044526
0.585000, 0.797110, 0.695417, -0.050846
0.590000, 0.814180, 0.700804, -0.056688
0.595000, 0.830740, 0.706751, -0.061994
0.600000, 0.846797, 0.713379, -0.066709
0.605000, 0.862339, 0.720782, -0.070779
0.610000, 0.877331, 0.729022, -0.074154
0.615000, 0.891713, 0.738124, -0.076794
0.620000, 0.905409, 0.748071, -0.078669
0.625000, 0.918329, 0.758799, -0.079765
0.630000, 0.930379, 0.770207, -0.080086
0.635000, 0.941468, 0.782156, -0.079656
0.640000, 0.951523, 0.794478, -0.078522
0.645000, 0.960489, 0.806991, -0.076749
0.650000, 0.968341, 0.819505, -0.074418
0.655000, 0.975085, 0.831845, -0.071620
0.660000, 0.980762, 0.843861, -0.068450
0.665000, 0.985436, 0.855445, -0.064996
0.670000, 0.989200, 0.866541, -0.061330
0.675000, 0.992161, 0.877150, -0.057506
0.680000, 0.994435, 0.887331, -0.053552
0.685000, 0.996138, 0.897181, -0.049478
0.690000, 0.997382, 0.906819, -0.045281
0.695000, 0.998267, 0.916351, -0.040958
0.700000, 0.998881, 0.925840, -0.036520
0.705000, 0.999295, 0.935283, -0.032006
0.710000, 0.999567, 0.944597, -0.027485
0.715000, 0.999741, 0.953628, -0.023056
0.720000, 0.999849, 0.962170, -0.018839
0.725000, 0.999914, 0.970007, -0.014953
0.730000, 0.999952, 0.976950, -0.011501
0.735000, 0.999974, 0.982867, -0.008554
0.740000, 0.999987, 0.987708, -0.006139
0.745000, 0.999993, 0.991502, -0.004246
0.750000, 0.999997, 0.994347, -0.002825
