DISTRICT,VPI,TWO-PARTY
CD 1,0.281286,2529970
CD 2,0.330974,2585001
CD 3,0.313038,2332319
CD 4,0.278527,2470496
CD 5,0.341616,2076121
CD 6,0.392072,2346688
CD 7,0.354352,2512442
CD 8,0.216853,2595185
CD 9,0.764138,1844428
CD 10,0.375234,2729387
CD 11,0.203967,2321834
CD 12,0.307536,2332165
CD 13,0.199302,2241699
CD 14,0.397015,2513942
CD 15,0.550234,1343528
CD 16,0.610212,1337877
CD 17,0.374598,2256094
CD 18,0.750165,1950517
CD 19,0.245374,2106406
CD 20,0.563427,1716096
CD 21,0.360486,3134732
CD 22,0.344942,2534865
CD 23,0.455628,1859985
CD 24,0.345824,2311675
CD 25,0.378145,2660901
CD 26,0.284323,2329208
CD 27,0.380359,2189770
CD 28,0.574672,1520941
CD 29,0.654493,1113470
CD 30,0.783260,2069420
CD 31,0.360375,2241635
CD 32,0.387170,2471943
CD 33,0.695325,1085608
CD 34,0.578043,1348165
CD 35,0.611889,1515509
CD 36,0.276578,2459656
