Vf, D-Sf, R-Sf, B_GSf, D-Sf-Pfptp, D-Sf-Uprob, D-Sf-Ufptp
0.250000, 0.026589, 0.000001, -0.013294, 0.000000, 0.133719, 0.138889
0.255000, 0.034756, 0.000002, -0.017377, 0.000000, 0.138445, 0.138889
0.260000, 0.043863, 0.000005, -0.021929, 0.027778, 0.143419, 0.138889
0.265000, 0.053622, 0.000009, -0.026807, 0.055556, 0.148658, 0.138889
0.270000, 0.063728, 0.000017, -0.031856, 0.083333, 0.154173, 0.138889
0.275000, 0.073912, 0.000032, -0.036940, 0.083333, 0.159971, 0.138889
0.280000, 0.083984, 0.000058, -0.041963, 0.083333, 0.166053, 0.138889
0.285000, 0.093856, 0.000102, -0.046877, 0.083333, 0.172413, 0.138889
0.290000, 0.103540, 0.000176, -0.051682, 0.111111, 0.179036, 0.166667
0.295000, 0.113122, 0.000297, -0.056412, 0.111111, 0.185899, 0.194444
0.300000, 0.122731, 0.000488, -0.061122, 0.111111, 0.192971, 0.194444
0.305000, 0.132510, 0.000784, -0.065863, 0.111111, 0.200211, 0.194444
0.310000, 0.142579, 0.001228, -0.070675, 0.138889, 0.207570, 0.194444
0.315000, 0.153022, 0.001881, -0.075571, 0.138889, 0.214995, 0.194444
0.320000, 0.163875, 0.002815, -0.080530, 0.138889, 0.222423, 0.194444
0.325000, 0.175118, 0.004120, -0.085499, 0.138889, 0.229792, 0.222222
0.330000, 0.186678, 0.005898, -0.090390, 0.194444, 0.237034, 0.250000
0.335000, 0.198437, 0.008265, -0.095086, 0.194444, 0.244086, 0.250000
0.340000, 0.210237, 0.011344, -0.099447, 0.194444, 0.250886, 0.277778
0.345000, 0.221896, 0.015259, -0.103318, 0.194444, 0.257380, 0.277778
0.350000, 0.233220, 0.020133, -0.106544, 0.250000, 0.263520, 0.277778
0.355000, 0.244019, 0.026073, -0.108973, 0.250000, 0.269269, 0.305556
0.360000, 0.254126, 0.033172, -0.110477, 0.277778, 0.274604, 0.305556
