DISTRICT,VPI,TWO-PARTY
CD 1,0.236591,159934
CD 2,0.285002,167381
CD 3,0.281088,136530
CD 4,0.238469,156171
CD 5,0.294169,131149
CD 6,0.341284,142131
CD 7,0.300178,164589
CD 8,0.183512,166169
CD 9,0.714175,114021
CD 10,0.314615,176530
CD 11,0.160468,149612
CD 12,0.266060,142701
CD 13,0.160565,142179
CD 14,0.343961,160117
CD 15,0.466418,80237
CD 16,0.548119,77901
CD 17,0.310259,146655
CD 18,0.703339,121071
CD 19,0.186169,133771
CD 20,0.469051,102927
CD 21,0.302269,203425
CD 22,0.295256,158740
CD 23,0.379357,116492
CD 24,0.302462,141611
CD 25,0.323100,171328
CD 26,0.246285,137601
CD 27,0.300565,142495
CD 28,0.492894,91407
CD 29,0.596505,68717
CD 30,0.741528,124052
CD 31,0.288216,139517
CD 32,0.360259,155935
CD 33,0.640194,63940
CD 34,0.479963,82146
CD 35,0.517713,91545
CD 36,0.232905,158949
