TX-2012, 2010AG, Definition
state<V>, 0.343510, Statewide fractional D vote
t-bias, -0.026017, state<V> minus average district D vote
S-fptp, 7, Seats from first past the post
S<V>est, 7.707863, Seats at state<V>
S50est, 16.002192, Seats at V=0.5
BS<V>, -10.362, % Geometric Seat Bias at statewide<V>
BS50, 5.549467, % Simple Bias at V=0.5
BV<V>, -4.332454, % Vote Bias at statewide<V>
BV50, 1.318158, % Vote Bias at V=0.5
R<V>, 1.633209, Responsiveness as a slope in S(V) at statewide<V>
R50, 3.671748, Responsiveness as a slope in S(V) at V=0.5
RD<V>, 4.487045, Number of responsive districts at statewide <V>
RD50, 12.130150, Number of responsive districts at V=0.5
EG<V>fpp, -0.742444, Efficiency Gap at state<V> using first past post S
EG<V>S(V), -2.708732, Efficiency Gap at state<V> using estimated S(V)
