DISTRICT,VPI,TWO-PARTY
CD 1,0.322371,160914
CD 2,0.389608,168821
CD 3,0.345476,136979
CD 4,0.339011,157166
CD 5,0.394790,130710
CD 6,0.421739,141277
CD 7,0.423920,166383
CD 8,0.277904,167018
CD 9,0.773443,114907
CD 10,0.423748,177157
CD 11,0.247269,149331
CD 12,0.356655,141916
CD 13,0.256093,141687
CD 14,0.428694,161362
CD 15,0.549333,82318
CD 16,0.612701,80532
CD 17,0.425075,147141
CD 18,0.766436,122018
CD 19,0.292502,132922
CD 20,0.580122,103492
CD 21,0.402371,203919
CD 22,0.389558,159889
CD 23,0.468380,119053
CD 24,0.373632,141658
CD 25,0.430255,171396
CD 26,0.319710,136974
CD 27,0.411442,143787
CD 28,0.585959,93614
CD 29,0.679270,69691
CD 30,0.786251,124412
CD 31,0.385449,138021
CD 32,0.431263,156343
CD 33,0.693974,64109
CD 34,0.568037,85049
CD 35,0.620576,92158
CD 36,0.332767,160223
