Vf, D-Sf, R-Sf, B_GSf
0.250000, 0.007683, 0.000001, -0.003841
0.255000, 0.011315, 0.000002, -0.005657
0.260000, 0.016034, 0.000003, -0.008015
0.265000, 0.021895, 0.000007, -0.010944
0.270000, 0.028870, 0.000013, -0.014428
0.275000, 0.036837, 0.000025, -0.018406
0.280000, 0.045598, 0.000045, -0.022777
0.285000, 0.054906, 0.000079, -0.027413
0.290000, 0.064508, 0.000138, -0.032185
0.295000, 0.074181, 0.000233, -0.036974
0.300000, 0.083765, 0.000386, -0.041690
0.305000, 0.093173, 0.000622, -0.046275
0.310000, 0.102392, 0.000982, -0.050705
0.315000, 0.111465, 0.001513, -0.054976
0.320000, 0.120472, 0.002279, -0.059097
0.325000, 0.129506, 0.003358, -0.063074
0.330000, 0.138657, 0.004842, -0.066908
0.335000, 0.147999, 0.006835, -0.070582
0.340000, 0.157584, 0.009453, -0.074066
0.345000, 0.167436, 0.012814, -0.077311
0.350000, 0.177550, 0.017040, -0.080255
0.355000, 0.187890, 0.022243, -0.082823
0.360000, 0.198387, 0.028525, -0.084931
0.365000, 0.208947, 0.035968, -0.086489
0.370000, 0.219450, 0.044633, -0.087408
0.375000, 0.229765, 0.054556, -0.087604
0.380000, 0.239756, 0.065748, -0.087004
0.385000, 0.249298, 0.078199, -0.085549
0.390000, 0.258285, 0.091878, -0.083203
0.395000, 0.266640, 0.106740, -0.079950
0.400000, 0.274324, 0.122729, -0.075797
0.405000, 0.281336, 0.139784, -0.070776
0.410000, 0.287714, 0.157839, -0.064937
0.415000, 0.293533, 0.176826, -0.058353
0.420000, 0.298899, 0.196679, -0.051110
0.425000, 0.303943, 0.217326, -0.043308
0.430000, 0.308814, 0.238696, -0.035059
0.435000, 0.313647, 0.260709, -0.026469
0.440000, 0.318079, 0.283281, -0.017399
0.445000, 0.323105, 0.306315, -0.008395
0.450000, 0.328845, 0.329706, +0.000431
0.455000, 0.335422, 0.353336, +0.008957
0.460000, 0.342956, 0.377071, +0.017057
0.465000, 0.351563, 0.400769, +0.024603
0.470000, 0.361342, 0.424275, +0.031467
0.475000, 0.372382, 0.447427, +0.037523
0.480000, 0.384745, 0.470059, +0.042657
0.485000, 0.398472, 0.492005, +0.046766
0.490000, 0.413574, 0.513106, +0.049766
0.495000, 0.430031, 0.533216, +0.051592
0.500000, 0.447794, 0.552206, +0.052206
0.505000, 0.466784, 0.569969, +0.051592
0.510000, 0.486894, 0.586426, +0.049766
0.515000, 0.507995, 0.601528, +0.046766
0.520000, 0.529941, 0.615255, +0.042657
0.525000, 0.552573, 0.627618, +0.037523
0.530000, 0.575725, 0.638658, +0.031467
0.535000, 0.599231, 0.648437, +0.024603
0.540000, 0.622929, 0.657044, +0.017057
0.545000, 0.646664, 0.664578, +0.008957
0.550000, 0.670294, 0.671155, +0.000431
0.555000, 0.693685, 0.676895, -0.008395
0.560000, 0.716719, 0.681921, -0.017399
0.565000, 0.739291, 0.686353, -0.026469
0.570000, 0.761304, 0.691186, -0.035059
0.575000, 0.782674, 0.696057, -0.043308
0.580000, 0.803321, 0.701101, -0.051110
0.585000, 0.823174, 0.706467, -0.058353
0.590000, 0.842161, 0.712286, -0.064937
0.595000, 0.860216, 0.718664, -0.070776
0.600000, 0.877271, 0.725676, -0.075797
0.605000, 0.893260, 0.733360, -0.079950
0.610000, 0.908122, 0.741715, -0.083203
0.615000, 0.921801, 0.750702, -0.085549
0.620000, 0.934252, 0.760244, -0.087004
0.625000, 0.945444, 0.770235, -0.087604
0.630000, 0.955367, 0.780550, -0.087408
0.635000, 0.964032, 0.791053, -0.086489
0.640000, 0.971475, 0.801613, -0.084931
0.645000, 0.977757, 0.812110, -0.082823
0.650000, 0.982960, 0.822450, -0.080255
0.655000, 0.987186, 0.832564, -0.077311
0.660000, 0.990547, 0.842416, -0.074066
0.665000, 0.993165, 0.852001, -0.070582
0.670000, 0.995158, 0.861343, -0.066908
0.675000, 0.996642, 0.870494, -0.063074
0.680000, 0.997721, 0.879528, -0.059097
0.685000, 0.998487, 0.888535, -0.054976
0.690000, 0.999018, 0.897608, -0.050705
0.695000, 0.999378, 0.906827, -0.046275
0.700000, 0.999614, 0.916235, -0.041690
0.705000, 0.999767, 0.925819, -0.036974
0.710000, 0.999862, 0.935492, -0.032185
0.715000, 0.999921, 0.945094, -0.027413
0.720000, 0.999955, 0.954402, -0.022777
0.725000, 0.999975, 0.963163, -0.018406
0.730000, 0.999987, 0.971130, -0.014428
0.735000, 0.999993, 0.978105, -0.010944
0.740000, 0.999997, 0.983966, -0.008015
0.745000, 0.999998, 0.988685, -0.005657
0.750000, 0.999999, 0.992317, -0.003841
