TX-2012, 2012S, Definition
state<V>, 0.418454, Statewide fractional D vote
t-bias, -0.022263, state<V> minus average district D vote
S-fptp, 11, Seats from first past the post
S<V>est, 11.128248, Seats at state<V>
S50est, 15.849594, Seats at V=0.5
BS<V>, -4.74623, % Geometric Seat Bias at statewide<V>
BS50, 5.973350, % Simple Bias at V=0.5
BV<V>, -1.165766, % Vote Bias at statewide<V>
BV50, 1.545708, % Vote Bias at V=0.5
R<V>, 0.628256, Responsiveness as a slope in S(V) at statewide<V>
R50, 3.361006, Responsiveness as a slope in S(V) at V=0.5
RD<V>, 1.555340, Number of responsive districts at statewide <V>
RD50, 11.282732, Number of responsive districts at V=0.5
EG<V>fpp, 3.135244, Efficiency Gap at state<V> using first past post S
EG<V>S(V), 2.779000, Efficiency Gap at state<V> using estimated S(V)
