rank,04P,06AG,06C,06G,06S,08P,08S,10-12D,10AG,10G,12P,12S,Mean,SEM
,0.384891,0.385012,0.383731,0.432952,0.368914,0.440649,0.438669,0.400337,0.34351,0.434846,0.419921,0.418454,,
0.0138888888888889,0.217281,0.257768,0.255228,0.271173,0.231186,0.224397,0.223972,0.199302,0.160565,0.256093,0.187627,0.196516,0.223425666666667,0.00960431478344999
0.0416666666666667,0.218366,0.249351,0.238025,0.269613,0.227225,0.233565,0.2334,0.203967,0.160468,0.247269,0.198175,0.204868,0.223691,0.00832703344535135
0.0694444444444444,0.246503,0.257391,0.262704,0.275614,0.251089,0.263601,0.273586,0.216853,0.183512,0.277904,0.220198,0.224378,0.246111083333333,0.00838828999933867
0.0972222222222222,0.23079,0.263118,0.25948,0.329992,0.241372,0.28176,0.263862,0.245374,0.186169,0.292502,0.253777,0.251219,0.258284583333333,0.0100752275690205
0.125,0.302203,0.306976,0.31433,0.33107,0.287094,0.306551,0.305683,0.281286,0.236591,0.322371,0.277552,0.310826,0.298544416666667,0.00724728556024894
0.152777777777778,0.277606,0.296431,0.285334,0.31946,0.27334,0.352357,0.330828,0.284323,0.246285,0.31971,0.312356,0.307694,0.300477,0.00836618394599245
0.180555555555556,0.309957,0.354813,0.359778,0.38356,0.319901,0.295736,0.313527,0.278527,0.238469,0.339011,0.251109,0.283419,0.310650583333333,0.0127117081192881
0.208333333333333,0.321859,0.348482,0.355176,0.379557,0.327534,0.298352,0.331081,0.276578,0.232905,0.332767,0.259967,0.272886,0.311428666666667,0.012559957860582
0.236111111111111,0.288426,0.293828,0.284031,0.327728,0.2777,0.378165,0.348031,0.313038,0.281088,0.345476,0.347225,0.345436,0.319181,0.00976440565306336
0.263888888888889,0.319226,0.339018,0.332812,0.393807,0.308592,0.357801,0.357501,0.307536,0.26606,0.356655,0.321554,0.321996,0.331879833333333,0.00939881707243583
0.291666666666667,0.3226,0.314884,0.32217,0.359409,0.322826,0.376779,0.376655,0.330974,0.285002,0.389608,0.361004,0.353139,0.342920833333333,0.00900254604208715
0.319444444444444,0.32828,0.324082,0.31622,0.364116,0.30507,0.409726,0.384942,0.345824,0.302462,0.373632,0.385976,0.380829,0.35176325,0.010420644346335
0.347222222222222,0.32933,0.32697,0.336237,0.37243,0.323443,0.390794,0.391946,0.344942,0.295256,0.389558,0.371307,0.365584,0.35314975,0.00910551320598231
0.375,0.343775,0.350725,0.361677,0.391321,0.33135,0.37669,0.382413,0.341616,0.294169,0.39479,0.347488,0.360224,0.356353166666667,0.00817139249736295
0.402777777777778,0.341701,0.310163,0.316849,0.370828,0.326725,0.407757,0.396024,0.354352,0.300178,0.42392,0.391729,0.387549,0.360647916666667,0.0119786732466233
0.430555555555556,0.338437,0.334846,0.328786,0.382076,0.331961,0.432537,0.392731,0.360375,0.288216,0.385449,0.390953,0.391843,0.363184166666667,0.0114579611200151
0.458333333333333,0.370548,0.358418,0.337251,0.413797,0.359257,0.427991,0.403912,0.360486,0.302269,0.402371,0.387756,0.389972,0.376169,0.0102013341737364
0.486111111111111,0.367167,0.376359,0.372743,0.424841,0.354657,0.413968,0.394502,0.374598,0.310259,0.425075,0.384511,0.385498,0.382014833333333,0.00920076148514707
0.513888888888889,0.368897,0.374192,0.376046,0.434824,0.355783,0.404954,0.420801,0.380359,0.300565,0.411442,0.386819,0.391939,0.383885083333333,0.0100599569449485
0.541666666666667,0.344947,0.353513,0.352228,0.409483,0.330637,0.425202,0.425639,0.392072,0.341284,0.421739,0.413067,0.412404,0.385184583333333,0.0107806444679021
0.569444444444444,0.380421,0.369697,0.365529,0.456006,0.372268,0.431226,0.417112,0.375234,0.314615,0.423748,0.396287,0.401545,0.391974,0.0107923135308647
0.597222222222222,0.382393,0.39102,0.37691,0.456527,0.379191,0.432579,0.413677,0.378145,0.3231,0.430255,0.38696,0.394201,0.395413166666667,0.00994621151405515
0.625,0.37682,0.364554,0.359744,0.416097,0.351209,0.443289,0.410869,0.38717,0.360259,0.431263,0.421226,0.422762,0.3954385,0.00932832120845878
0.652777777777778,0.43239,0.427352,0.433394,0.477581,0.405408,0.424853,0.444065,0.397015,0.343961,0.428694,0.39955,0.407,0.418438583333333,0.00931840339300801
0.680555555555556,0.415214,0.420417,0.408598,0.455878,0.401689,0.503095,0.511738,0.455628,0.379357,0.46838,0.486485,0.467063,0.447795166666667,0.0122234271187657
0.708333333333333,0.464571,0.476815,0.463558,0.501802,0.45382,0.577965,0.593294,0.550234,0.466418,0.549333,0.58028,0.560688,0.519898166666667,0.0154479935363951
0.736111111111111,0.474882,0.504721,0.495872,0.544927,0.465041,0.587205,0.617979,0.574672,0.492894,0.585959,0.609054,0.570581,0.543648916666667,0.0156818838465486
0.763888888888889,0.502338,0.508273,0.500506,0.558684,0.495235,0.58895,0.602279,0.563427,0.469051,0.580122,0.597523,0.593687,0.546672916666667,0.0138885700064883
0.791666666666667,0.486665,0.520921,0.501454,0.521079,0.487265,0.605689,0.628325,0.578043,0.479963,0.568037,0.613309,0.569754,0.546708666666667,0.0154495708179741
0.819444444444444,0.554176,0.550718,0.53042,0.507651,0.49742,0.650528,0.662079,0.610212,0.548119,0.612701,0.650276,0.61713,0.582619166666667,0.0167379620468659
0.847222222222222,0.566533,0.548328,0.548761,0.616294,0.542749,0.640432,0.640324,0.611889,0.517713,0.620576,0.645401,0.642609,0.595134083333333,0.013525491151928
0.875,0.562338,0.57478,0.600575,0.636011,0.566039,0.626832,0.694252,0.654493,0.596505,0.67927,0.666379,0.647312,0.625398833333333,0.0129910125639562
0.902777777777778,0.615197,0.622617,0.629515,0.676813,0.596523,0.691193,0.703745,0.695325,0.640194,0.693974,0.726458,0.70607,0.666468666666667,0.0124206939720563
0.930555555555556,0.685757,0.648112,0.671549,0.711185,0.65016,0.764727,0.768902,0.764138,0.714175,0.773443,0.786752,0.777049,0.726329083333333,0.0151014712370052
0.958333333333333,0.702387,0.668852,0.690458,0.746615,0.66822,0.769824,0.77651,0.750165,0.703339,0.766436,0.769419,0.7598,0.731002083333333,0.0119284320672376
0.986111111111111,0.702332,0.6795,0.699686,0.73699,0.660036,0.788003,0.780959,0.78326,0.741528,0.786251,0.802105,0.790334,0.745915333333333,0.0143212974089203
1.01388888888889,,,,,,,,,,,,,,
1.04166666666667,,,,,,,,,,,,,,
1.06944444444444,,,,,,,,,,,,,,
1.09722222222222,,,,,,,,,,,,,,
1.125,,,,,,,,,,,,,,
1.15277777777778,,,,,,,,,,,,,,
1.18055555555556,,,,,,,,,,,,,,
